2025-07-18 11:15:54 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-18 11:16:15 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:18:08 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:19:01 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:21:56 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:22:20 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:24:53 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:41:46 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:43:02 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:44:52 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:55:37 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:56:08 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R2_25R1_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:57:40 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 11:59:46 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_24R2_24R1_FSFM_FSIH_P8.xlsx | RESULT: NOK
2025-07-18 12:11:56 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 12:14:18 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_du20.xlsx | RESULT: NOK
2025-07-18 13:19:06 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:26:06 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:28:11 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:29:37 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:31:12 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:33:10 | config-x/auto-comm > | excel_to_dict_formula ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:34:04 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:35:55 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:40:05 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 13:40:34 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 14:36:00 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R1_24R3_du20.xlsx | RESULT: NOK
2025-07-18 14:45:40 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R2_25R1_FSFM_FSIH.xlsx | RESULT: NOK
2025-07-18 14:46:24 | config-x/auto-comm > | excel_to_dict_mo ref_bts_parameters_25R2_25R1_du20.xlsx | RESULT: NOK
2025-07-18 14:57:47 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-18 14:57:47 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-18 14:57:47 | config > | init_stp | RESULT: OK
2025-07-18 14:57:48 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-18 14:57:48 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-18 14:57:50 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-18 14:58:11 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-18 14:58:11 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-18 14:58:11 | config > | init_stp | RESULT: OK
2025-07-18 14:58:11 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-18 14:58:11 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-18 15:00:29 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-18 15:00:29 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-18 15:00:29 | config > | init_stp | RESULT: OK
2025-07-18 15:00:30 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
